2730 , 200
389 , 15.30 , 200
390 , 15.30 , 200
391 , 15.30 , 200
392 , 15.30 , 200
0 , 15.30 , 10
1 , 14.79 , 10
2 , 15.30 , 10
3 , 14.79 , 10
4 , 15.30 , 10
5 , 15.05 , 10
6 , 15.56 , 10
7 , 15.30 , 10
8 , 15.56 , 10
9 , 15.05 , 10
10 , 15.56 , 10
11 , 15.56 , 10
12 , 15.30 , 10
13 , 15.56 , 10
14 , 15.05 , 10
15 , 15.05 , 10
16 , 15.81 , 10
17 , 15.81 , 10
18 , 15.56 , 10
19 , 15.56 , 10
20 , 15.56 , 20
21 , 16.07 , 20
22 , 16.07 , 20
23 , 15.56 , 20
24 , 16.07 , 20
25 , 16.07 , 20
26 , 16.07 , 20
27 , 16.32 , 20
28 , 16.07 , 20
29 , 15.56 , 20
30 , 16.32 , 20
31 , 16.58 , 20
32 , 16.32 , 20
33 , 16.32 , 20
34 , 16.58 , 20
35 , 16.58 , 20
36 , 16.07 , 20
37 , 16.83 , 20
38 , 16.32 , 20
39 , 16.32 , 20
40 , 16.58 , 30
41 , 16.07 , 30
42 , 17.09 , 30
43 , 17.09 , 30
44 , 17.09 , 30
45 , 17.09 , 30
46 , 17.34 , 30
47 , 17.34 , 30
48 , 16.83 , 30
49 , 16.07 , 30
50 , 17.34 , 30
51 , 17.09 , 30
52 , 17.60 , 30
53 , 16.83 , 30
54 , 17.60 , 30
55 , 17.34 , 30
56 , 17.85 , 30
57 , 17.34 , 30
58 , 17.34 , 30
59 , 16.83 , 30
60 , 17.34 , 40
61 , 17.85 , 40
62 , 17.60 , 40
63 , 17.60 , 40
64 , 17.85 , 40
65 , 17.85 , 40
66 , 18.11 , 40
67 , 17.85 , 40
68 , 17.85 , 40
69 , 18.11 , 40
70 , 18.62 , 40
71 , 18.36 , 40
72 , 18.36 , 40
73 , 18.36 , 40
74 , 18.36 , 40
75 , 18.11 , 40
76 , 18.11 , 40
77 , 18.36 , 40
78 , 18.36 , 40
79 , 18.36 , 40
80 , 18.36 , 50
81 , 18.87 , 50
82 , 18.87 , 50
83 , 18.62 , 50
84 , 19.13 , 50
85 , 19.38 , 50
86 , 19.13 , 50
87 , 19.13 , 50
88 , 19.13 , 50
89 , 19.13 , 50
90 , 19.13 , 50
91 , 18.87 , 50
92 , 19.13 , 50
93 , 18.62 , 50
94 , 19.13 , 50
95 , 19.64 , 50
96 , 18.36 , 50
97 , 19.38 , 50
98 , 19.38 , 50
99 , 19.13 , 50
100 , 19.13 , 60
101 , 19.89 , 60
102 , 19.38 , 60
103 , 19.64 , 60
104 , 20.40 , 60
105 , 19.89 , 60
106 , 20.15 , 60
107 , 20.15 , 60
108 , 20.40 , 60
109 , 20.15 , 60
110 , 19.38 , 60
111 , 20.40 , 60
112 , 20.15 , 60
113 , 20.15 , 60
114 , 19.89 , 60
115 , 20.66 , 60
116 , 20.15 , 60
117 , 20.15 , 60
118 , 20.15 , 60
119 , 20.40 , 60
120 , 20.40 , 70
121 , 20.66 , 70
122 , 20.40 , 70
123 , 20.92 , 70
124 , 20.92 , 70
125 , 21.17 , 70
126 , 21.17 , 70
127 , 20.66 , 70
128 , 20.92 , 70
129 , 20.66 , 70
130 , 20.66 , 70
131 , 20.66 , 70
132 , 20.40 , 70
133 , 21.17 , 70
134 , 21.17 , 70
135 , 21.17 , 70
136 , 20.92 , 70
137 , 20.92 , 70
138 , 20.92 , 70
139 , 21.17 , 70
140 , 21.17 , 80
141 , 21.94 , 80
142 , 21.68 , 80
143 , 21.94 , 80
144 , 21.68 , 80
145 , 22.19 , 80
146 , 21.94 , 80
147 , 21.94 , 80
148 , 22.19 , 80
149 , 21.68 , 80
150 , 21.94 , 80
151 , 21.68 , 80
152 , 21.94 , 80
153 , 21.94 , 80
154 , 22.45 , 80
155 , 22.19 , 80
156 , 22.19 , 80
157 , 22.19 , 80
158 , 22.19 , 80
159 , 22.19 , 80
160 , 21.94 , 90
161 , 22.70 , 90
162 , 22.19 , 90
163 , 22.70 , 90
164 , 22.70 , 90
165 , 22.70 , 90
166 , 22.70 , 90
167 , 22.96 , 90
168 , 22.45 , 90
169 , 22.45 , 90
170 , 22.19 , 90
171 , 22.70 , 90
172 , 22.96 , 90
173 , 23.21 , 90
174 , 22.96 , 90
175 , 22.70 , 90
176 , 23.21 , 90
177 , 23.21 , 90
178 , 22.96 , 90
179 , 22.96 , 90
180 , 23.21 , 100
181 , 22.96 , 100
