0	20.66	10	6.9	20
1	20.4	10	6.9	20
2	20.66	10	6.9	20
3	20.66	10	6.9	20
4	20.4	10	6.9	20
5	20.4	10	6.9	20
6	20.66	10	6.9	20
7	20.4	10	6.9	20
8	20.92	10	6.9	20
9	20.66	10	6.9	20
10	20.66	10	6.9	20
11	20.92	10	6.9	20
12	20.15	10	6.9	20
13	20.92	10	6.9	20
14	20.4	10	6.9	20
15	20.4	10	6.9	20
16	20.4	10	6.9	20
17	20.92	10	6.9	20
18	20.92	10	6.9	20
19	20.4	10	6.9	20
20	20.66	20	31.5	80
21	20.92	20	31.5	80
22	20.92	20	31.5	80
23	20.66	20	31.5	80
24	20.92	20	31.5	80
25	21.17	20	31.5	80
26	20.92	20	31.5	80
27	21.17	20	31.5	80
28	20.92	20	31.5	80
29	20.92	20	31.5	80
30	21.17	20	31.5	80
31	20.92	20	31.5	80
32	20.92	20	31.5	80
33	21.43	20	31.5	80
34	21.17	20	31.5	80
35	21.17	20	31.5	80
36	21.17	20	31.5	80
37	20.66	20	31.5	80
38	21.17	20	31.5	80
39	21.43	20	31.5	80
40	21.17	30	57.7	147
41	21.43	30	57.7	147
42	21.94	30	57.7	147
43	21.17	30	57.7	147
44	21.43	30	57.7	147
45	21.68	30	57.7	147
46	21.43	30	57.7	147
47	21.68	30	57.7	147
48	21.68	30	57.7	147
49	21.43	30	57.7	147
50	21.68	30	57.7	147
51	21.68	30	57.7	147
52	21.43	30	57.7	147
53	21.94	30	57.7	147
54	21.43	30	57.7	147
55	21.68	30	57.7	147
56	21.68	30	57.7	147
57	21.68	30	57.7	147
58	21.68	30	57.7	147
59	21.68	30	57.7	147
60	21.17	40	78.2	200
61	21.94	40	78.2	200
62	21.94	40	78.2	200
63	21.94	40	78.2	200
64	21.94	40	78.2	200
65	22.19	40	78.2	200
66	21.94	40	78.2	200
67	21.94	40	78.2	200
68	21.94	40	78.2	200
69	22.19	40	78.2	200
70	22.19	40	78.2	200
71	21.94	40	78.2	200
72	22.45	40	78.2	200
73	22.19	40	78.2	200
74	22.19	40	78.2	200
75	21.68	40	78.2	200
76	21.68	40	78.2	200
77	22.19	40	78.2	200
78	21.94	40	78.2	200
79	21.68	40	78.2	200
80	21.94	50	106.1	274
81	22.19	50	106.1	274
82	22.7	50	106.1	274
83	22.96	50	106.1	274
84	22.19	50	106.1	274
