2 210
 20.40 , 210
401 , 20.40 , 210
402 , 20.66 , 210
403 , 19.89 , 210
404 , 20.40 , 210
405 , 20.40 , 210
406 , 20.40 , 210
0 , 20.15 , 10
1 , 20.15 , 10
2 , 20.40 , 10
3 , 20.66 , 10
4 , 20.66 , 10
5 , 20.40 , 10
6 , 20.66 , 10
7 , 20.15 , 10
8 , 20.15 , 10
9 , 19.89 , 10
10 , 20.40 , 10
11 , 20.66 , 10
12 , 20.66 , 10
13 , 20.66 , 10
14 , 20.66 , 10
15 , 20.40 , 10
16 , 20.66 , 10
17 , 20.40 , 10
18 , 20.66 , 10
19 , 20.66 , 10
20 , 20.92 , 20
21 , 20.40 , 20
22 , 20.92 , 20
23 , 21.43 , 20
24 , 21.17 , 20
25 , 20.66 , 20
26 , 21.43 , 20
27 , 20.92 , 20
28 , 21.17 , 20
29 , 21.17 , 20
30 , 21.43 , 20
31 , 21.43 , 20
32 , 21.17 , 20
33 , 21.43 , 20
34 , 21.43 , 20
35 , 21.43 , 20
36 , 21.43 , 20
37 , 21.68 , 20
38 , 21.68 , 20
39 , 21.68 , 20
40 , 21.43 , 30
41 , 21.68 , 30
42 , 22.19 , 30
43 , 22.19 , 30
44 , 21.94 , 30
45 , 22.19 , 30
46 , 22.19 , 30
47 , 22.19 , 30
48 , 22.19 , 30
49 , 21.94 , 30
50 , 22.19 , 30
51 , 21.43 , 30
52 , 22.45 , 30
53 , 21.94 , 30
54 , 21.94 , 30
55 , 22.19 , 30
56 , 22.45 , 30
57 , 22.45 , 30
58 , 22.19 , 30
59 , 22.45 , 30
60 , 21.68 , 40
61 , 22.45 , 40
62 , 22.70 , 40
63 , 22.70 , 40
64 , 22.96 , 40
65 , 22.96 , 40
66 , 22.70 , 40
67 , 22.19 , 40
68 , 22.96 , 40
69 , 22.96 , 40
70 , 22.70 , 40
71 , 23.21 , 40
72 , 22.96 , 40
73 , 22.96 , 40
74 , 22.96 , 40
75 , 22.96 , 40
76 , 23.21 , 40
77 , 22.96 , 40
78 , 22.96 , 40
79 , 22.96 , 40
80 , 22.96 , 50
81 , 23.47 , 50
82 , 22.96 , 50
83 , 23.21 , 50
84 , 23.47 , 50
85 , 23.72 , 50
86 , 23.72 , 50
87 , 23.47 , 50
88 , 23.72 , 50
89 , 23.47 , 50
90 , 23.72 , 50
91 , 23.47 , 50
92 , 23.72 , 50
93 , 23.72 , 50
94 , 23.72 , 50
95 , 23.72 , 50
96 , 23.47 , 50
97 , 23.72 , 50
98 , 23.98 , 50
99 , 23.47 , 50
100 , 23.72 , 60
101 , 24.23 , 60
102 , 23.98 , 60
103 , 24.23 , 60
104 , 24.23 , 60
105 , 24.49 , 60
106 , 24.23 , 60
107 , 24.23 , 60
108 , 24.49 , 60
109 , 24.74 , 60
110 , 24.74 , 60
111 , 24.23 , 60
112 , 24.23 , 60
113 , 23.98 , 60
114 , 24.74 , 60
115 , 24.74 , 60
116 , 24.23 , 60
117 , 24.74 , 60
118 , 24.74 , 60
119 , 24.74 , 60
120 , 24.23 , 70
121 , 25.25 , 70
122 , 24.49 , 70
123 , 25.25 , 70
124 , 25.51 , 70
125 , 25.51 , 70
126 , 25.00 , 70
127 , 25.00 , 70
128 , 25.25 , 70
129 , 25.51 , 70
130 , 25.25 , 70
131 , 25.51 , 70
132 , 25.51 , 70
133 , 25.25 , 70
134 , 25.51 , 70
135 , 25.00 , 70
136 , 25.76 , 70
137 , 25.00 , 70
138 , 25.51 , 70
139 , 25.51 , 70
140 , 25.76 , 80
141 , 26.02 , 80
142 , 26.27 , 80
143 , 26.27 , 80
144 , 26.02 , 80
145 , 26.02 , 80
146 , 25.76 , 80
147 , 26.02 , 80
148 , 25.76 , 80
149 , 25.76 , 80
150 , 26.27 , 80
151 , 26.27 , 80
152 , 26.27 , 80
153 , 26.02 , 80
154 , 26.27 , 80
155 , 26.02 , 80
156 , 26.53 , 80
157 , 26.27 , 80
158 , 26.27 , 80
159 , 26.27 , 80
160 , 26.53 , 90
161 , 26.78 , 90
162 , 26.78 , 90
163 , 26.53 , 90
164 , 27.04 , 90
165 , 27.29 , 90
166 , 27.04 , 90
167 , 27.04 , 90
168 , 27.29 , 90
169 , 27.29 , 90
170 , 27.04 , 90
171 , 27.04 , 90
172 , 27.29 , 90
173 , 27.29 , 90
174 , 27.29 , 90
175 , 27.04 , 90
176 , 27.29 , 90
177 , 27.55 , 90
178 , 26.78 , 90
179 , 26.78 , 90
180 , 27.29 , 100
181 , 28.31 , 100
182 , 27.55 , 100
183 , 27.80 , 100
184 , 28.31 , 100
185 , 28.06 , 100
186 , 28.31 , 100
187 , 28.06 , 100
188 , 28.06 , 100
189 , 28.06 , 100
190 , 28.31 , 100
191 , 27.55 , 100
192 , 28.06 , 100
193 , 27.80 , 100
194 , 27.80 , 100
195 , 28.57 , 100
196 , 28.31 , 100
197 , 28.57 , 100
198 , 28.31 , 100
199 , 28.06 , 100
200 , 28.57 , 110
201 , 28.82 , 110
202 , 29.08 , 110
203 , 29.08 , 110
204 , 29.08 , 110
205 , 28.82 , 110
206 , 29.08 , 110
207 , 29.08 , 110
208 , 28.57 , 110
209 , 28.82 , 110
210 , 28.82 , 110
211 , 29.34 , 110
212 , 29.08 , 110
213 , 28.82 , 110
214 , 28.82 , 110
215 , 28.82 , 110
216 , 29.08 , 110
217 , 29.34 , 110
218 , 29.59 , 110
219 , 29.34 , 110
220 , 29.34 , 120
221 , 29.85 , 120
222 , 29.85 , 120
223 , 29.85 , 120
224 , 29.85 , 120
225 , 29.85 , 120
226 , 29.85 , 120
227 , 30.10 , 120
228 , 29.59 , 120
229 , 30.10 , 120
230 , 30.10 , 120
231 , 30.10 , 120
232 , 29.85 , 120
233 , 29.85 , 120
234 , 30.10 , 120
235 , 29.59 , 120
236 , 30.10 , 120
237 , 29.85 , 120
238 , 30.10 , 120
239 , 30.36 , 120
240 , 29.85 , 130
241 , 31.12 , 130
242 , 27.04 , 130
243 , 26.53 , 130
244 , 25.51 , 130
245 , 26.02 , 130
